Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2026-06-23,2026-06-24,9437,AMAZON RETA* D237D8Z93,Merchandise,22.59,
2026-06-22,2026-06-23,3934,SPEEDWAY 43828,Gas/Automotive,39.70,
2026-06-19,2026-06-22,3934,MICRO CENTER-165 INDIANA,Merchandise,,74.89
2026-06-19,2026-06-22,3934,AMC 0849 CASTLETON QUA,Entertainment,36.91,
2026-06-20,2026-06-22,3934,WAL-MART #1459     SE2,Health Care,30.28,
2026-06-20,2026-06-22,3934,Spotify P43BE0470C,Phone/Cable,12.99,
2026-06-19,2026-06-22,3934,TST*PIZZA UNCOMMON -WEST,Dining,26.80,
2026-06-19,2026-06-22,3934,TST*PIZZA UNCOMMON -WEST,Dining,9.12,
2026-06-19,2026-06-22,3934,TACO BELL 3001015,Dining,23.93,
2026-06-19,2026-06-20,3934,WOODLAND BOWL,Dining,16.30,
2026-06-19,2026-06-20,3934,WOODLAND BOWL,Dining,35.00,
2026-06-19,2026-06-20,3934,WOODLAND BOWL,Dining,40.00,
2026-06-19,2026-06-20,3934,WAL-MART #1601,Merchandise,15.37,
2026-06-19,2026-06-20,9437,FANDANGO    *,Entertainment,35.36,
2026-06-19,2026-06-20,9437,UBER   *EATS,Merchandise,57.55,
2026-06-18,2026-06-19,3934,WAL-MART #1459,Merchandise,50.94,
2026-06-18,2026-06-19,3934,MCDONALD'S F36967,Dining,6.63,
2026-06-18,2026-06-19,3934,TST* CAFE PATACHOU CLAY T,Dining,80.85,
2026-06-18,2026-06-19,3934,BATH AND BODY WORKS 4494,Merchandise,29.85,
2026-06-18,2026-06-19,9437,MCDONALD'S F1569,Dining,1.73,
2026-06-17,2026-06-18,3934,BURGER KING #21442,Dining,20.68,
2026-06-17,2026-06-18,3934,SPEEDWAY 43828,Gas/Automotive,46.10,
2026-06-16,2026-06-17,3934,CAPITAL ONE MOBILE PYMT,Payment/Credit,,1408.00
2026-06-16,2026-06-17,3934,WENDYS 6820,Dining,20.35,
2026-06-16,2026-06-17,3934,WAL-MART #1459,Merchandise,29.83,
2026-06-15,2026-06-16,3934,TST* NOTHING BUNDT CAKES,Dining,14.98,
2026-06-15,2026-06-16,3934,BURGER KING #21442,Dining,22.63,
2026-06-15,2026-06-16,3934,KROGER #998,Merchandise,4.25,
2026-06-13,2026-06-15,9437,UBER *EATS HELP.UBER.COM,Dining,42.23,
2026-06-12,2026-06-13,3934,SPEEDWAY 43828,Gas/Automotive,48.32,
2026-06-11,2026-06-13,3934,CONTAINERSTOREINDIANAP,Merchandise,,19.46
2026-06-11,2026-06-13,3934,DAVES HOT CHICKEN 1087,Dining,42.46,
2026-06-11,2026-06-12,3934,PETSMART # 0510,Merchandise,11.57,
2026-06-11,2026-06-12,3934,WM SUPERCENTER #1459,Merchandise,28.38,
2026-06-11,2026-06-12,3934,SHELBYVILLE RD VET HOSP,Professional Services,873.54,
2026-06-10,2026-06-12,3934,THORNTONS 231110,Gas/Automotive,6.40,
2026-06-10,2026-06-12,3934,MICRO CENTER-165 INDIANA,Merchandise,74.89,
2026-06-10,2026-06-12,3934,CONTAINERSTOREINDIANAP,Merchandise,51.55,
2026-06-10,2026-06-11,3934,PETSMART # 0510,Merchandise,84.80,
2026-06-10,2026-06-11,3934,SUNNY ALTERATION LLC,Merchandise,10.70,
2026-06-10,2026-06-11,3934,FLIGHT BURGER,Dining,49.72,
2026-06-10,2026-06-11,9437,UBER   *TRIP,Other Travel,23.05,
2026-06-09,2026-06-10,3934,CULVERS INDIANAPOLIS SOU,Dining,36.69,
2026-06-08,2026-06-09,3934,WAL-MART #1459,Merchandise,67.08,
2026-06-08,2026-06-09,3934,SUBWAY 37129,Dining,3.79,
2026-06-08,2026-06-09,3934,SPEEDWAY 43828,Gas/Automotive,42.59,
2026-06-05,2026-06-08,3934,PARKINDY INDIANAPOLIS,Other,2.00,
2026-06-06,2026-06-08,3934,WM SUPERCENTER #1459,Health Care,24.63,
2026-06-06,2026-06-08,3934,SPOTIFY,Phone/Cable,12.99,
2026-06-05,2026-06-06,3934,MCDONALD'S F4925,Dining,1.73,
2026-06-05,2026-06-06,3934,THE PETRA RESTAURANT,Dining,46.25,
2026-06-04,2026-06-05,3934,SPEEDWAY 43828,Gas/Automotive,50.75,
2026-06-04,2026-06-05,3934,THE WHITE HORSE PUB,Dining,15.80,
2026-06-03,2026-06-04,3934,DAIRY QUEEN # 13002,Dining,2.17,
2026-06-03,2026-06-04,3934,DAIRY QUEEN # 13002,Dining,10.01,
2026-06-03,2026-06-04,3934,DOMINO'S 2568,Dining,20.82,
2026-06-02,2026-06-03,3934,BURGER KING #21442,Dining,23.24,
2026-06-01,2026-06-03,3934,CHEDDAR'S 0202160,Dining,55.78,
2026-06-01,2026-06-03,3934,McDonalds 26729,Dining,5.31,
2026-06-01,2026-06-02,3934,TIBBS DRIVE IN THEATRE,Dining,9.27,
2026-06-01,2026-06-02,3934,TIBBS DRIVE IN THEATRE,Dining,7.73,
2026-06-01,2026-06-02,3934,SPEEDWAY 43692,Gas/Automotive,9.49,
2026-05-31,2026-06-01,3934,TIBBS DRIVE IN THEATRE,Entertainment,25.50,
2026-05-30,2026-06-01,3934,PETSMART # 1065,Merchandise,107.00,
2026-05-30,2026-06-01,3934,SPEEDWAY 43828,Gas/Automotive,49.96,
2026-05-30,2026-06-01,3934,JACK IN THE BOX 6209,Dining,19.61,
2026-05-29,2026-05-30,3934,WAL-MART #3435,Merchandise,4.99,
2026-05-28,2026-05-29,3934,WAL-MART #1459,Merchandise,86.09,
2026-05-26,2026-05-27,3934,DOMINO'S 2568,Dining,8.71,
2026-05-26,2026-05-27,3934,SPEEDWAY 43828,Gas/Automotive,54.69,
2026-05-26,2026-05-27,9437,8558290149-PATIENTPMT.COM,Health Care,50.00,
2026-05-24,2026-05-26,3934,McDonalds 26729,Dining,4.35,
2026-05-24,2026-05-26,3934,McDonalds 26729,Dining,10.32,
2026-05-24,2026-05-25,3934,WAL-MART #1459,Merchandise,12.33,
2026-05-25,2026-05-25,9437,UBER   *TRIP,Other Travel,17.65,
2026-05-25,2026-05-25,9437,UBER   *ONE MEMBERSHIP,Other Travel,9.99,
2026-05-25,2026-05-25,9437,UBER   *TRIP,Other Travel,14.89,
2026-05-22,2026-05-25,9437,BROTHERS - DOWNTOWN IN,Dining,64.46,
2026-05-23,2026-05-25,3934,WM SUPERCENTER #1459,Merchandise,20.40,
2026-05-23,2026-05-25,3934,SUBWAY 37129,Dining,25.14,
2026-05-22,2026-05-23,3934,CTLP*CONTINENTAL SERVI,Dining,2.65,
2026-05-22,2026-05-23,3934,CTLP*CONTINENTAL SERVI,Dining,2.65,
2026-05-22,2026-05-23,3934,HONK PARKING,Gas/Automotive,10.50,
2026-05-22,2026-05-23,3934,HONK PARKING,Gas/Automotive,5.50,
2026-05-22,2026-05-23,9437,LIVING ROOM - INDINAPO,Entertainment,9.81,
2026-05-22,2026-05-23,9437,LIVING ROOM - INDINAPO,Entertainment,11.99,
2026-05-22,2026-05-23,9437,LIVING ROOM - INDINAPO,Entertainment,27.50,
2026-05-21,2026-05-22,3934,WAL-MART #1459     SE2,Health Care,12.78,
2026-05-21,2026-05-22,3934,SPEEDWAY 46695,Gas/Automotive,56.51,
2026-05-21,2026-05-22,9437,UBER   *TRIP,Other Travel,21.39,
2026-05-20,2026-05-21,3934,Spotify P42A841691,Phone/Cable,12.99,
2026-05-20,2026-05-21,3934,BURGER KING #21442,Dining,21.85,
2026-05-18,2026-05-19,3934,WM SUPERCENTER #1459,Merchandise,141.97,
2026-05-18,2026-05-19,3934,MCDONALD'S F38845,Dining,16.98,
2026-05-18,2026-05-19,3934,KROGER #992,Merchandise,3.79,
2026-05-17,2026-05-18,3934,CAPITAL ONE MOBILE PYMT,Payment/Credit,,2000.00
2026-05-17,2026-05-18,3934,TST* GIORDANOS - DT INDY,Dining,64.13,
2026-05-18,2026-05-18,9437,UBER   *TRIP,Other Travel,17.95,
2026-05-18,2026-05-18,9437,UBER   *TRIP,Other Travel,13.87,
2026-05-16,2026-05-18,3934,BP#8832339GETGO #7579,Gas/Automotive,6.61,
2026-05-16,2026-05-18,3934,HCP GARAGE,Gas/Automotive,10.00,
2026-05-16,2026-05-18,3934,SPEEDWAY 43828,Gas/Automotive,54.41,
2026-05-15,2026-05-16,9437,UBER   *EATS,Dining,26.15,
2026-05-13,2026-05-14,3934,CHILI'S GREENWOOD #1749,Dining,54.47,
2026-05-14,2026-05-14,9437,UBER   *TRIP,Other Travel,12.67,
2026-05-13,2026-05-14,9437,UBER   *TRIP,Other Travel,21.38,
2026-05-12,2026-05-13,3934,WAL-MART #1459,Merchandise,7.43,
2026-05-12,2026-05-13,3934,SPEEDWAY 43828,Gas/Automotive,58.51,
2026-05-11,2026-05-12,3934,KFC H740016,Dining,27.87,
2026-05-11,2026-05-12,3934,SQ *BEN & JERRY'S CARMEL,Dining,18.72,
2026-05-09,2026-05-11,3934,WM SUPERCENTER #1459,Merchandise,73.30,
2026-05-08,2026-05-09,3934,SPEEDWAY 43828,Gas/Automotive,60.07,
2026-05-07,2026-05-08,3934,WENDYS 6820,Dining,24.49,
2026-05-07,2026-05-08,3934,WAL-MART #1459,Merchandise,33.02,
2026-05-06,2026-05-07,3934,BURGER KING #21442,Dining,34.01,
2026-05-06,2026-05-07,3934,SPOTIFY,Phone/Cable,12.99,
2026-05-05,2026-05-07,3934,PARKINDY INDIANAPOLIS,Other,3.00,
2026-05-06,2026-05-07,3934,TST* CONDADO TACOS - MASS,Dining,52.14,
2026-05-07,2026-05-07,9437,UBER TRIP* TRIP,Other Travel,22.94,
2026-05-04,2026-05-05,3934,WM SUPERCENTER #1459,Merchandise,12.27,
2026-05-04,2026-05-05,3934,SPEEDWAY 43828,Gas/Automotive,68.64,
2026-05-04,2026-05-05,9437,UBER   *EATS,Dining,23.74,
2026-05-04,2026-05-04,9437,UBER   *TRIP,Other Travel,20.95,
2026-05-02,2026-05-04,3934,TST* ALAMO DRAFTHOUSE - I,Dining,55.76,
2026-05-01,2026-05-04,9437,IC INDIANAPOLIS F&B,Dining,73.22,
2026-05-01,2026-05-02,3934,WM SUPERCENTER #1459,Merchandise,5.09,
2026-05-01,2026-05-02,3934,HCP GARAGE,Gas/Automotive,7.00,
2026-05-01,2026-05-02,3934,ALAMO DRAFTHOUSE IND,Entertainment,27.98,
2026-04-30,2026-05-01,3934,WM SUPERCENTER #1459,Merchandise,6.54,
2026-04-30,2026-05-01,3934,SPEEDWAY 43828,Gas/Automotive,61.38,
2026-04-29,2026-04-30,3934,WAWA 7408,Gas/Automotive,36.36,
2026-04-29,2026-04-30,3934,TARGET        00010637,Merchandise,105.40,
2026-04-28,2026-04-30,3934,CHICK-FIL-A #04172,Dining,32.04,
2026-04-28,2026-04-29,3934,SPEEDWAY 43666,Gas/Automotive,6.29,
2026-04-27,2026-04-29,3934,BURGER KING #4948,Dining,21.22,
2026-04-28,2026-04-29,3934,TARGET        00017897,Merchandise,135.18,
2026-04-27,2026-04-28,3934,TST*THE CAKE BAKE SHOP,Dining,89.39,
2026-04-26,2026-04-27,3934,WM SUPERCENTER #1459,Merchandise,33.75,
2026-04-26,2026-04-27,3934,SPEEDWAY 43828,Gas/Automotive,9.27,
2026-04-26,2026-04-27,3934,SPEEDWAY 43828,Gas/Automotive,43.81,
2026-04-25,2026-04-27,3934,LAMPING CLEANERS- BEECH G,Other Services,15.91,
2026-04-24,2026-04-27,3934,McDonalds 26729,Dining,13.91,
2026-04-24,2026-04-25,3934,WAL-MART #1459,Merchandise,82.39,
2026-04-25,2026-04-25,9437,UBER *ONE MEMBERSHIP UBER,Other Travel,9.99,
2026-04-22,2026-04-23,3934,SPEEDWAY 43828,Gas/Automotive,52.13,
2026-04-22,2026-04-23,3934,JACK IN THE BOX 6209,Dining,17.75,
2026-04-21,2026-04-22,3934,SPEEDWAY 46695,Gas/Automotive,6.18,
2026-04-20,2026-04-21,3934,Spotify P41A3A8B95,Phone/Cable,12.99,
2026-04-20,2026-04-21,3934,TST* WETZEL'S PRETZELS -,Dining,8.38,
2026-04-20,2026-04-21,9437,UBER   *EATS,Dining,40.21,
2026-04-19,2026-04-21,9437,MAKI OF JAPAN F103,Dining,4.02,
2026-04-19,2026-04-20,3934,CAPITAL ONE MOBILE PYMT,Payment/Credit,,4200.00
2026-04-19,2026-04-20,3934,BATH & BODY WORKS 3053,Merchandise,35.91,
2026-04-19,2026-04-20,3934,SQ *ICE CREAM DONUTS,Dining,12.26,
2026-04-19,2026-04-20,3934,SQ *FOCACCIA GROUP LLC,Dining,20.06,
2026-04-19,2026-04-20,3934,SQ *SARAGA NORTH LLC,Merchandise,7.00,
2026-04-18,2026-04-20,3934,SPEEDWAY 43828,Gas/Automotive,49.89,
2026-04-17,2026-04-18,3934,WM SUPERCENTER #1459,Merchandise,85.13,
2026-04-15,2026-04-17,3934,PARKINDY INDIANAPOLIS,Other,3.00,
2026-04-15,2026-04-17,3934,McDonalds 26729,Dining,5.00,
2026-04-15,2026-04-16,3934,AMC 6381 INDIANAPOLIS,Entertainment,35.60,
2026-04-15,2026-04-16,9437,TST*FORTYFIVE DEGREES,Dining,72.13,
2026-04-14,2026-04-15,3934,SPEEDWAY 43828,Gas/Automotive,51.45,
2026-04-14,2026-04-15,9437,FANDANGO    *,Entertainment,32.36,
2026-04-13,2026-04-14,3934,PAPA JOHNS #199,Dining,3.80,
2026-04-12,2026-04-14,3934,McDonalds 11964,Dining,5.97,
2026-04-12,2026-04-13,9437,UBER   *EATS,Dining,1.00,
2026-04-12,2026-04-13,9437,UBER   *EATS,Dining,27.22,
2026-04-12,2026-04-13,9437,UBER   *EATS,Dining,,11.56
2026-04-11,2026-04-13,3934,WM SUPERCENTER #1459,Merchandise,4.64,
2026-04-11,2026-04-13,3934,SPEEDWAY 43828,Gas/Automotive,51.30,
2026-04-09,2026-04-10,3934,WAL-MART #1459,Merchandise,75.53,
2026-04-07,2026-04-08,3934,WM SUPERCENTER #1459,Merchandise,12.87,
2026-04-07,2026-04-08,3934,SPEEDWAY 43828,Gas/Automotive,51.35,
2026-04-06,2026-04-08,3934,McDonalds 26729,Dining,8.27,
2026-04-06,2026-04-07,3934,SPOTIFY,Phone/Cable,12.99,
2026-04-04,2026-04-06,3934,KROGER #927,Merchandise,14.44,
2026-04-03,2026-04-06,3934,PIZZA HUT 034867,Dining,39.16,
2026-04-03,2026-04-04,3934,SPEEDWAY 43692,Gas/Automotive,6.18,
2026-04-03,2026-04-04,3934,SPEEDWAY 43692,Gas/Automotive,46.18,
2026-04-02,2026-04-03,3934,WM SUPERCENTER #1459,Merchandise,75.88,
2026-04-01,2026-04-03,3934,BURGER KING #21442,Dining,16.32,
2026-04-01,2026-04-03,3934,IU PARKING OPS-GARAGES,Other,5.00,
2026-04-01,2026-04-02,3934,SPEEDWAY 46780,Gas/Automotive,6.18,
2026-03-30,2026-03-31,3934,MCDONALD'S F36967,Dining,15.46,
2026-03-29,2026-03-30,3934,SPEEDWAY 43896,Gas/Automotive,51.29,
2026-03-28,2026-03-30,3934,WENDYS 6820,Dining,9.90,
2026-03-28,2026-03-30,3934,SPEEDWAY 43828,Gas/Automotive,3.09,
2026-03-27,2026-03-28,3934,SPEEDWAY 43692,Gas/Automotive,55.75,
2026-03-28,2026-03-28,9437,UBER   *EATS,Dining,,29.54
2026-03-27,2026-03-28,9437,UBER   *EATS,Dining,68.01,
2026-03-26,2026-03-27,3934,WM SUPERCENTER #1459,Merchandise,96.46,
2026-03-26,2026-03-27,3934,TARGET        00008813,Merchandise,31.55,
2026-03-24,2026-03-26,3934,BUTLERS PIZZA,Dining,2.53,
2026-03-24,2026-03-26,3934,BUTLERS PIZZA,Dining,10.10,
2026-03-24,2026-03-26,3934,16 TECH GARAGE 5970,Gas/Automotive,5.00,
2026-03-24,2026-03-25,3934,SPEEDWAY 43692,Gas/Automotive,6.29,
2026-03-24,2026-03-25,3934,SPEEDWAY 43692,Gas/Automotive,59.14,
2026-03-24,2026-03-25,3934,PUNKIN'S PIES SWEET TREA,Dining,18.53,
2026-03-24,2026-03-25,3934,SQ *THE BULL GRILL INDY,Dining,13.90,
2026-03-24,2026-03-25,3934,TST* CONDADO TACOS - CARM,Dining,52.91,
2026-03-25,2026-03-25,9437,UBER   *ONE MEMBERSHIP,Other Travel,9.99,
2026-03-24,2026-03-25,9437,SQ *SIPEASY,Dining,14.88,
2026-03-23,2026-03-24,3934,PETCO 0285,Merchandise,11.76,
2026-03-23,2026-03-24,3934,CIRCLE K 02307,Gas/Automotive,6.40,
2026-03-23,2026-03-24,9437,1203 GREAT CLIPS AT GREEN,Other Services,25.00,
2026-03-21,2026-03-23,9437,UBER   *EATS,Dining,32.08,
2026-03-21,2026-03-21,3934,SPOTIFY,Phone/Cable,12.99,
2026-03-20,2026-03-21,3934,TST* UPLAND BREWING - FOU,Dining,7.63,
2026-03-20,2026-03-21,3934,TST* UPLAND BREWING - FOU,Dining,10.81,
2026-03-20,2026-03-21,9437,TST* UPLAND BREWING - FOU,Dining,12.86,
2026-03-20,2026-03-20,3934,CAPITAL ONE MOBILE PYMT,Payment/Credit,,2000.00
2026-03-19,2026-03-20,3934,SPEEDWAY 43828,Gas/Automotive,6.18,
2026-03-19,2026-03-20,3934,SPEEDWAY 43828,Gas/Automotive,52.43,
2026-03-19,2026-03-20,3934,SPEEDWAY 43828,Gas/Automotive,6.18,
2026-03-19,2026-03-20,3934,BURGER KING #21442,Dining,12.30,
2026-03-17,2026-03-19,3934,PIZZA HUT 034867,Dining,44.19,
2026-03-19,2026-03-19,9437,EB *LUCKY IN LOVE SING,Other Services,40.00,
2026-03-17,2026-03-18,3934,SPEEDWAY 43828,Gas/Automotive,6.18,
2026-03-16,2026-03-17,3934,WM SUPERCENTER #1459,Merchandise,34.08,
2026-03-15,2026-03-16,3934,SPEEDWAY 43787,Gas/Automotive,6.18,
2026-03-15,2026-03-16,3934,DOMINO'S 2568,Dining,34.31,
2026-03-14,2026-03-16,3934,INDYVET EMERGENCY   SPECI,Professional Services,117.25,
2026-03-14,2026-03-16,3934,INDYVET EMERGENCY   SPECI,Professional Services,185.00,
2026-03-14,2026-03-16,3934,McDonalds 26729,Dining,13.49,
2026-03-14,2026-03-16,3934,TST* THE MONK'S FUSION CU,Dining,90.65,
